Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_Pct,Automation_Risk_Pct,Location,Gender_Diversity_Pct
"Research officer, political party",Finance,Increasing,Low,51209.29,Associate Degree,18,9115,6276,55.72,0.91,India,61.2
Barrister,Transportation,Decreasing,Moderate,119727.53,Associate Degree,10,8855,2143,35.52,78.85,Brazil,74.01
Technical author,Entertainment,Decreasing,High,86080.58,Bachelor’s Degree,14,1295,8688,97.84,44.35,Australia,74.75
"Engineer, structural",Entertainment,Increasing,High,60294.52,Bachelor’s Degree,18,6763,7280,13.73,97.36,Canada,48.27
Rural practice surveyor,Education,Decreasing,Moderate,47461.74,PhD,7,9100,6722,5.12,59.2,Australia,73.13
Actuary,Healthcare,Increasing,Moderate,70645.1,Associate Degree,0,6547,2353,48.9,76.68,Australia,71.64
Financial risk analyst,Healthcare,Increasing,Low,119938.37,PhD,9,9957,4280,64.84,91.86,USA,73.73
Arts administrator,Finance,Decreasing,Low,124485.72,Bachelor’s Degree,14,9166,4595,33.15,6.12,Brazil,22.74
"Designer, jewellery",Education,Decreasing,Low,89225.38,High School,2,7372,3345,77.96,33.02,USA,33.8
Administrator,Finance,Decreasing,Moderate,75952.4,Associate Degree,8,9760,5173,41.16,27.64,UK,71.39
Restaurant manager,IT,Decreasing,Moderate,48477.91,Bachelor’s Degree,16,8673,6032,5.84,61.47,Brazil,58.0
Press sub,IT,Decreasing,High,138390.18,High School,5,5314,5271,15.51,48.2,Canada,42.34
Broadcast journalist,Healthcare,Decreasing,Low,74843.02,PhD,7,6549,6741,22.31,97.78,India,50.64
Risk analyst,Retail,Decreasing,Low,119318.79,High School,0,1584,9432,76.41,25.67,Australia,26.9
Dentist,Finance,Decreasing,Low,63403.57,Bachelor’s Degree,5,518,8671,41.03,40.36,USA,21.52
"Engineer, biomedical",IT,Increasing,High,112749.62,High School,8,6211,4760,58.9,6.23,USA,22.27
Careers adviser,Retail,Increasing,Moderate,116210.52,High School,16,5056,5760,28.89,1.79,Australia,29.98
Diagnostic radiographer,Retail,Increasing,Low,121540.7,Associate Degree,6,5838,3464,97.72,1.74,UK,75.79
Bonds trader,Education,Decreasing,Low,101616.08,Associate Degree,15,5136,6972,4.46,48.98,India,50.1
Town planner,Retail,Decreasing,Moderate,86890.14,Associate Degree,8,4263,9693,85.16,47.77,China,67.26
"Journalist, broadcasting",Manufacturing,Decreasing,Moderate,114892.48,Bachelor’s Degree,4,2931,5213,92.25,30.7,USA,47.52
"Engineer, electronics",Retail,Decreasing,Low,69450.94,Master’s Degree,19,9198,923,57.24,40.72,USA,73.68
"Therapist, speech and language",Transportation,Increasing,Low,118109.26,High School,19,1103,1604,80.14,92.24,Brazil,64.37
Garment/textile technologist,Retail,Increasing,Low,132408.39,Associate Degree,15,2209,887,80.02,79.25,Brazil,42.85
"Doctor, general practice",Finance,Decreasing,High,33522.27,Associate Degree,5,4463,7112,17.51,25.91,China,34.85
Town planner,Entertainment,Increasing,High,55338.45,Bachelor’s Degree,12,2871,1307,4.95,81.96,UK,36.68
Environmental manager,Entertainment,Decreasing,High,52958.54,Bachelor’s Degree,4,3468,9933,49.98,65.87,China,42.4
Historic buildings inspector/conservation officer,Healthcare,Increasing,High,117019.99,Bachelor’s Degree,9,8846,8248,69.71,81.88,UK,47.6
Chartered legal executive (England and Wales),Education,Decreasing,Low,72058.93,Associate Degree,7,2457,1974,79.25,50.31,Germany,22.84
Brewing technologist,Transportation,Increasing,High,88170.6,Bachelor’s Degree,9,5596,3171,41.13,69.98,UK,20.95
Nature conservation officer,Retail,Decreasing,High,33522.65,Associate Degree,6,8754,9284,60.93,16.04,Canada,48.23
Company secretary,Transportation,Decreasing,High,37511.53,PhD,15,3207,7455,45.89,44.91,Brazil,35.56
Archivist,Transportation,Decreasing,High,74542.04,High School,16,8725,3254,8.15,23.17,China,42.44
Telecommunications researcher,Healthcare,Decreasing,High,132272.33,Bachelor’s Degree,19,3753,3135,93.83,84.08,Germany,52.64
Communications engineer,Retail,Decreasing,Low,42966.87,Associate Degree,12,7622,9846,7.89,91.23,China,22.59
Restaurant manager,Transportation,Increasing,Moderate,90196.77,Bachelor’s Degree,1,6100,3899,56.15,41.9,Canada,32.23
Petroleum engineer,Finance,Increasing,Low,55950.3,High School,5,4200,6294,47.07,68.73,Germany,59.47
Wellsite geologist,Entertainment,Decreasing,High,41905.63,High School,11,431,1128,44.56,91.76,China,58.42
Advertising copywriter,Transportation,Decreasing,Low,97304.27,Associate Degree,20,9067,4107,87.71,40.59,Germany,77.97
"Clinical scientist, histocompatibility and immunogenetics",Entertainment,Decreasing,High,49361.08,PhD,9,3912,2054,26.56,93.41,Australia,37.4
"Investment banker, corporate",Entertainment,Increasing,High,34845.26,PhD,6,6469,6263,62.8,18.09,Australia,38.26
Building control surveyor,Education,Increasing,Moderate,49397.52,Associate Degree,15,7069,8429,13.73,47.71,UK,52.62
Astronomer,Entertainment,Increasing,Low,92452.93,PhD,20,7559,7123,67.21,90.12,Australia,37.22
Ecologist,IT,Decreasing,Moderate,106122.32,Associate Degree,17,5407,4631,43.99,4.91,India,42.53
Barrister's clerk,Transportation,Decreasing,Low,53935.88,Bachelor’s Degree,2,4503,3572,15.27,25.26,Germany,31.25
Careers information officer,Finance,Increasing,Low,47131.41,High School,19,4881,5709,21.07,15.38,India,42.4
"Engineer, civil (contracting)",Transportation,Decreasing,Low,91278.68,Associate Degree,5,773,4619,30.27,0.52,Brazil,51.21
Theatre director,Transportation,Increasing,Low,109420.99,Master’s Degree,18,8562,5831,32.35,75.23,Brazil,77.31
Exhibition designer,Transportation,Increasing,Low,50951.45,Master’s Degree,3,7322,3582,61.33,67.52,Germany,72.19
Air cabin crew,Healthcare,Decreasing,Moderate,75653.19,Master’s Degree,6,6833,118,32.92,83.59,Germany,21.55
Conference centre manager,IT,Increasing,Moderate,118997.26,Master’s Degree,7,8158,5533,88.58,8.68,Brazil,46.89
"Therapist, speech and language",Retail,Decreasing,Moderate,68891.34,Associate Degree,10,952,5485,18.32,96.69,China,49.52
"Librarian, public",IT,Decreasing,High,104707.39,Master’s Degree,16,3638,6238,15.48,88.73,Canada,69.17
Teaching laboratory technician,Education,Increasing,Moderate,148548.22,Master’s Degree,8,3571,3759,82.87,21.51,UK,27.11
Sports administrator,Manufacturing,Increasing,High,92190.76,Bachelor’s Degree,8,3671,5747,74.55,54.16,Australia,58.87
"Engineer, site",IT,Increasing,High,78934.9,High School,20,2880,7440,24.29,19.13,Brazil,27.56
Retail manager,Entertainment,Increasing,Moderate,117129.97,Bachelor’s Degree,18,3260,5313,28.03,71.49,USA,42.44
Archivist,IT,Increasing,Moderate,85057.85,Master’s Degree,6,6462,6203,11.68,11.22,India,61.0
Recruitment consultant,Finance,Decreasing,High,65171.61,High School,5,8313,9592,47.31,89.05,China,27.57
Corporate treasurer,IT,Increasing,Low,40467.52,Bachelor’s Degree,11,416,9276,48.47,86.06,Australia,23.03
"Surveyor, quantity",Manufacturing,Increasing,Low,138716.09,Bachelor’s Degree,20,9346,2783,2.34,76.63,Canada,26.27
Medical laboratory scientific officer,Transportation,Increasing,Low,70038.44,PhD,1,8663,8947,17.62,86.53,China,45.5
Best boy,Manufacturing,Decreasing,High,57456.13,High School,13,907,1121,54.15,78.4,UK,68.51
Water engineer,Manufacturing,Increasing,Moderate,107249.28,Associate Degree,17,4565,8619,88.84,57.04,UK,34.12
Advertising copywriter,Transportation,Decreasing,Low,97545.15,PhD,17,7113,3276,51.17,34.82,India,38.09
"Civil engineer, consulting",Finance,Increasing,Low,36300.33,Master’s Degree,1,4217,3004,65.16,74.63,China,50.21
Public relations officer,Healthcare,Increasing,High,141472.56,Associate Degree,18,5172,4621,35.55,39.46,Brazil,42.35
"Psychologist, counselling",Healthcare,Decreasing,Low,92536.81,Master’s Degree,14,3043,9981,6.56,77.06,Germany,51.26
Toxicologist,Education,Increasing,Low,122627.96,PhD,1,8577,7404,30.27,2.21,China,61.78
Probation officer,IT,Decreasing,Low,68280.42,Master’s Degree,14,8605,912,38.89,32.38,Australia,26.47
Associate Professor,Entertainment,Decreasing,Low,75014.95,Associate Degree,20,204,6151,72.7,23.2,Canada,79.1
Field trials officer,IT,Decreasing,Moderate,88689.81,Associate Degree,12,1427,2584,79.79,56.62,Germany,41.65
Personal assistant,Education,Decreasing,Moderate,102210.36,Bachelor’s Degree,10,1153,7360,88.33,86.98,Australia,30.6
"Therapist, occupational",Retail,Increasing,High,44778.06,Associate Degree,19,914,340,98.57,86.57,Australia,30.85
Medical illustrator,Retail,Decreasing,Low,81578.15,Bachelor’s Degree,16,1708,3268,36.39,11.7,India,61.55
"Secretary, company",Retail,Decreasing,Moderate,84284.68,Associate Degree,13,1785,3264,58.17,9.01,Germany,57.35
Multimedia programmer,Transportation,Decreasing,High,72357.31,Master’s Degree,13,9174,5850,18.0,90.32,Brazil,32.32
Barrister,Manufacturing,Increasing,Low,85918.99,Bachelor’s Degree,10,2067,7504,1.49,83.99,Brazil,69.93
Tree surgeon,Retail,Increasing,Low,118131.31,Associate Degree,9,5074,5912,41.2,59.53,Canada,23.42
Travel agency manager,Entertainment,Decreasing,Moderate,145233.31,Associate Degree,18,9923,243,39.25,11.52,India,60.19
Town planner,Finance,Increasing,High,62246.66,Bachelor’s Degree,8,8805,2560,95.51,68.29,USA,67.29
Seismic interpreter,Healthcare,Decreasing,Moderate,105096.59,High School,19,7141,6087,3.68,44.98,Australia,73.15
Legal secretary,Retail,Increasing,High,125584.29,Associate Degree,10,9703,4111,61.77,48.54,Canada,37.57
International aid/development worker,Retail,Decreasing,High,132664.87,Master’s Degree,12,8421,6785,27.96,90.07,Canada,77.77
Chief Strategy Officer,Transportation,Decreasing,Low,33828.27,Associate Degree,18,2264,6452,37.04,24.51,Germany,55.09
"Clinical scientist, histocompatibility and immunogenetics",Manufacturing,Decreasing,Moderate,91713.21,High School,20,899,1895,99.23,44.57,USA,70.47
Water engineer,IT,Increasing,High,57123.89,PhD,8,9455,7654,34.84,93.81,USA,27.46
Human resources officer,Entertainment,Increasing,High,129825.45,Associate Degree,9,5981,4652,70.41,54.16,India,27.82
Commercial/residential surveyor,Healthcare,Increasing,Low,39078.16,High School,7,4544,989,83.08,35.95,USA,29.32
Museum/gallery exhibitions officer,Entertainment,Increasing,High,44330.59,Bachelor’s Degree,3,6210,921,90.17,60.26,Australia,30.54
Minerals surveyor,IT,Increasing,Moderate,108671.78,Master’s Degree,3,9399,4314,57.2,39.17,Australia,31.47
"Scientist, research (life sciences)",Education,Increasing,High,137119.46,PhD,11,4964,6237,19.38,82.84,Australia,79.39
Clothing/textile technologist,Healthcare,Increasing,Low,123424.38,PhD,11,8485,6366,37.43,39.39,UK,72.88
Diagnostic radiographer,Entertainment,Increasing,High,117117.49,PhD,20,1196,623,89.95,53.72,UK,46.01
"Scientist, research (maths)",Finance,Increasing,Moderate,70206.26,PhD,1,2303,1956,52.5,56.55,Australia,52.57
Heritage manager,Entertainment,Decreasing,Low,31006.15,Associate Degree,5,6091,2083,64.5,59.63,India,21.78
"Restaurant manager, fast food",Manufacturing,Decreasing,High,41943.12,Associate Degree,6,451,2681,20.1,9.07,Germany,71.78
Biomedical scientist,Transportation,Increasing,Moderate,125458.73,High School,3,7099,6249,70.6,58.73,USA,36.51
"Programmer, applications",Retail,Decreasing,Low,102155.38,Master’s Degree,13,3685,7427,10.99,39.37,Brazil,57.15
"Engineer, automotive",Entertainment,Increasing,High,130027.8,Associate Degree,10,1800,2380,76.69,62.46,USA,47.43
Occupational hygienist,Entertainment,Increasing,Moderate,114659.83,Associate Degree,17,7398,2656,38.37,64.69,China,72.76
Field trials officer,Education,Increasing,High,37838.14,PhD,3,1031,9592,64.71,95.92,Germany,33.27
Textile designer,Finance,Decreasing,High,36372.75,Bachelor’s Degree,13,8831,3062,9.41,49.42,India,62.57
Health and safety inspector,Transportation,Decreasing,Moderate,66331.27,PhD,3,9472,5080,91.68,85.53,USA,65.3
"Restaurant manager, fast food",Retail,Decreasing,High,78877.08,Master’s Degree,14,3812,783,77.63,27.56,UK,72.87
"Surveyor, commercial/residential",Finance,Decreasing,High,75705.38,High School,1,8908,2031,75.52,77.53,Germany,57.69
Advertising account planner,Manufacturing,Decreasing,High,97968.82,High School,11,4161,6362,41.05,98.58,UK,58.05
Retail banker,Manufacturing,Increasing,Moderate,59083.18,PhD,16,8483,7441,37.88,96.08,Germany,37.39
Audiological scientist,Healthcare,Increasing,Low,139498.1,PhD,18,3158,4903,4.84,96.46,UK,36.14
Hydrogeologist,Finance,Increasing,Low,45351.76,Bachelor’s Degree,19,9661,6157,16.34,13.38,USA,35.1
Waste management officer,Healthcare,Decreasing,High,146218.17,PhD,1,7345,2938,27.75,54.65,USA,42.52
Product designer,Manufacturing,Decreasing,Low,44710.14,Master’s Degree,20,2813,8852,74.44,96.45,USA,42.16
Cartographer,Transportation,Increasing,Low,88440.91,Bachelor’s Degree,18,411,115,65.88,18.41,Brazil,28.68
Sales promotion account executive,IT,Decreasing,High,47613.47,High School,6,8893,8560,60.33,48.46,Canada,50.06
Technical brewer,Entertainment,Increasing,Moderate,37612.64,PhD,13,8669,1245,35.16,2.15,Canada,41.47
Science writer,Transportation,Increasing,Low,38548.46,Master’s Degree,17,4034,2373,94.76,34.82,USA,29.07
Fish farm manager,Retail,Decreasing,High,93940.77,High School,16,2295,5668,90.29,37.39,USA,60.97
Primary school teacher,Healthcare,Decreasing,Moderate,121614.35,Bachelor’s Degree,8,8242,2231,92.09,50.9,India,69.03
Private music teacher,Entertainment,Decreasing,High,77726.28,Bachelor’s Degree,12,3750,9249,20.74,77.21,Germany,39.79
Market researcher,Finance,Decreasing,Moderate,111558.29,Master’s Degree,9,2107,2889,61.82,28.82,UK,62.87
"Designer, textile",Transportation,Decreasing,High,97741.88,High School,12,2517,5838,29.02,47.08,Australia,36.71
"Secretary, company",Retail,Decreasing,Low,132668.87,PhD,18,8545,8872,58.42,76.33,India,64.29
"Research officer, government",Education,Increasing,Low,129409.62,Bachelor’s Degree,10,6575,3235,35.83,8.8,USA,39.68
Hydrogeologist,Education,Decreasing,High,132796.41,Associate Degree,2,1230,3667,53.59,95.73,India,28.2
"Lecturer, higher education",Manufacturing,Decreasing,High,54534.84,High School,6,8537,6225,83.6,30.39,Germany,31.68
Garment/textile technologist,Entertainment,Decreasing,Moderate,100948.51,Associate Degree,12,188,643,56.76,85.6,Germany,63.62
Water quality scientist,Education,Decreasing,High,116073.9,Bachelor’s Degree,13,5787,5858,58.93,99.71,Australia,41.25
Archaeologist,Manufacturing,Decreasing,Moderate,105913.87,Master’s Degree,19,9397,9783,61.15,93.4,UK,71.05
Retail merchandiser,Entertainment,Increasing,Moderate,137695.1,PhD,19,199,8462,8.84,90.15,Canada,55.26
Chief Marketing Officer,Manufacturing,Decreasing,High,75270.34,High School,6,8338,8351,67.74,62.76,Germany,59.32
Ecologist,Finance,Decreasing,Low,92695.31,Associate Degree,7,9083,159,3.67,39.33,Germany,65.9
"Engineer, manufacturing systems",IT,Decreasing,High,47562.25,High School,8,5895,2591,72.43,4.86,Brazil,35.71
"Engineer, maintenance (IT)",Finance,Increasing,Low,125085.77,Bachelor’s Degree,12,8400,5794,19.98,25.33,Canada,48.78
Contractor,Transportation,Increasing,Low,90076.42,High School,1,9634,9724,80.99,60.77,USA,37.23
"Geneticist, molecular",Healthcare,Decreasing,Moderate,79528.87,Master’s Degree,7,5042,5444,9.48,95.25,Brazil,77.15
Aid worker,Transportation,Decreasing,Low,93812.83,PhD,10,891,3492,51.62,46.42,Brazil,59.57
"Investment banker, corporate",Education,Increasing,Low,124641.45,High School,15,9864,516,28.62,53.48,Germany,35.76
Sports development officer,Entertainment,Increasing,High,41377.38,High School,14,3207,7557,25.56,72.0,Australia,23.6
Medical physicist,IT,Increasing,Low,85629.82,Associate Degree,17,3417,6027,62.91,58.09,Brazil,67.86
Operations geologist,Manufacturing,Increasing,Moderate,37869.26,Bachelor’s Degree,20,3207,5818,53.13,97.74,Australia,39.6
"Engineer, petroleum",Finance,Increasing,Low,98057.53,PhD,9,4344,4924,82.51,86.06,India,39.59
Ergonomist,Finance,Decreasing,High,38836.49,High School,0,8745,753,92.58,77.79,Canada,41.4
Naval architect,Entertainment,Increasing,Low,85892.74,Bachelor’s Degree,3,9675,7928,10.04,6.57,Australia,62.36
Forest/woodland manager,Retail,Decreasing,High,143051.19,Associate Degree,7,9618,7572,39.4,49.04,India,60.26
Web designer,Manufacturing,Decreasing,Low,61943.43,Bachelor’s Degree,10,7844,6470,88.36,70.95,Germany,50.6
Landscape architect,IT,Increasing,Moderate,85038.58,Associate Degree,0,335,3545,9.33,83.22,Brazil,36.07
Seismic interpreter,Transportation,Decreasing,High,108914.51,Associate Degree,12,9735,9606,7.46,32.2,India,35.53
Architect,Manufacturing,Increasing,Low,125957.08,PhD,2,1438,1344,88.91,7.06,Germany,27.49
Chief Strategy Officer,IT,Increasing,Low,42280.39,Bachelor’s Degree,5,4889,6892,45.94,70.61,UK,71.0
Records manager,Transportation,Increasing,Low,50459.15,PhD,16,7181,3131,94.72,8.09,USA,56.93
Sports development officer,Healthcare,Decreasing,Low,119385.52,PhD,12,289,185,25.19,18.53,UK,43.2
"Programmer, applications",IT,Decreasing,Moderate,116769.61,Bachelor’s Degree,15,4570,6691,19.66,56.13,UK,59.1
Restaurant manager,Transportation,Increasing,Moderate,118668.0,Associate Degree,17,9393,7058,33.53,70.91,India,52.97
Counselling psychologist,Entertainment,Decreasing,Low,69961.22,Associate Degree,4,4347,935,82.1,77.29,India,51.88
"Engineer, electronics",Manufacturing,Increasing,Moderate,100975.19,Bachelor’s Degree,6,2295,2612,55.63,15.44,UK,59.17
Publishing copy,Healthcare,Decreasing,High,66005.43,Bachelor’s Degree,6,178,6483,53.49,18.99,Canada,59.05
Financial manager,IT,Decreasing,Moderate,56699.25,PhD,3,2739,276,43.36,86.6,Brazil,20.52
Architectural technologist,Retail,Decreasing,High,73557.12,Bachelor’s Degree,5,7557,8656,30.63,44.69,USA,46.41
"Engineer, maintenance (IT)",Finance,Decreasing,Low,86880.91,PhD,14,6025,1744,6.55,18.11,India,77.65
"Teacher, special educational needs",Manufacturing,Decreasing,High,74652.32,Associate Degree,1,5697,1043,35.89,88.64,China,31.81
Air cabin crew,Entertainment,Increasing,Low,94686.78,High School,17,7590,8522,92.43,79.98,Australia,79.95
Fish farm manager,Healthcare,Increasing,High,95086.7,Bachelor’s Degree,19,1033,6461,42.87,28.84,USA,59.51
Publishing copy,Transportation,Increasing,Low,113605.05,PhD,7,706,7214,43.14,99.46,USA,77.22
Legal secretary,Manufacturing,Increasing,Moderate,43560.48,High School,9,5438,2498,84.02,21.85,India,48.46
Amenity horticulturist,IT,Decreasing,Low,140754.85,Bachelor’s Degree,6,2357,1056,69.16,40.63,UK,58.84
Astronomer,IT,Increasing,High,120715.1,High School,13,6697,9682,8.54,5.01,Germany,58.44
Private music teacher,Education,Decreasing,Low,63106.32,High School,0,4468,8378,44.34,8.99,Canada,20.24
Systems developer,Education,Decreasing,High,87192.48,Bachelor’s Degree,5,9676,1735,93.75,82.88,Australia,44.7
Armed forces logistics/support/administrative officer,Retail,Increasing,Low,63042.31,Master’s Degree,7,6279,4857,71.46,67.61,Germany,54.37
"Engineer, maintenance",Transportation,Increasing,Moderate,80802.33,Associate Degree,7,2078,4106,0.07,26.9,China,57.87
"Engineer, mining",Retail,Increasing,High,95863.53,Associate Degree,13,5829,2937,25.3,49.29,Canada,41.0
"Engineer, site",Entertainment,Decreasing,Low,60111.23,High School,13,2510,2396,73.98,96.12,India,38.45
IT trainer,Finance,Increasing,Moderate,44082.18,PhD,5,3802,2193,5.07,99.89,India,47.68
Health visitor,Retail,Decreasing,High,38417.6,High School,16,8124,6239,0.28,43.64,Canada,52.82
Ophthalmologist,IT,Increasing,Low,104889.44,PhD,4,8101,8150,18.18,7.72,Brazil,36.51
Advertising art director,Healthcare,Increasing,Moderate,113932.99,High School,16,1523,3953,67.12,84.26,UK,46.2
"Surveyor, building control",Entertainment,Decreasing,Low,102760.9,PhD,14,196,4822,72.05,63.47,Canada,31.92
Commissioning editor,Finance,Increasing,Low,38406.71,PhD,14,3864,2870,43.39,32.4,UK,46.09
Estate manager/land agent,Entertainment,Increasing,Low,136319.55,PhD,7,1713,4574,92.62,53.6,Brazil,77.1
Community education officer,Transportation,Decreasing,Low,80514.24,High School,14,8358,3948,22.07,90.57,India,68.68
Field trials officer,Manufacturing,Decreasing,Low,35146.57,Master’s Degree,2,9787,8537,74.35,2.93,USA,74.06
Airline pilot,IT,Increasing,Low,93750.66,PhD,16,7954,172,93.1,90.37,India,33.64
"Surveyor, rural practice",Finance,Increasing,Moderate,143250.85,PhD,16,1738,9730,81.46,87.06,Australia,59.99
Insurance underwriter,Finance,Decreasing,Low,72553.36,PhD,11,7470,9603,6.22,92.56,Australia,26.71
Clinical embryologist,Manufacturing,Increasing,Low,141421.86,Master’s Degree,17,5703,2484,34.8,56.18,Canada,38.39
Diplomatic Services operational officer,Healthcare,Decreasing,Moderate,40039.37,High School,16,3937,7641,99.27,73.3,China,21.43
Television production assistant,IT,Increasing,Low,138479.92,Master’s Degree,19,2317,560,71.17,26.79,USA,50.81
Town planner,Healthcare,Decreasing,Low,76484.42,PhD,8,8401,115,19.18,72.39,Canada,26.33
"Social research officer, government",Education,Decreasing,Moderate,65666.44,Bachelor’s Degree,9,6100,6414,83.93,58.78,Germany,45.26
Call centre manager,Entertainment,Increasing,Low,115329.77,Bachelor’s Degree,20,8666,4384,8.1,83.76,Germany,50.38
Television camera operator,Transportation,Increasing,High,49739.13,PhD,19,6453,5689,76.67,5.98,Australia,41.79
Chief Executive Officer,Education,Decreasing,Low,111992.8,PhD,17,333,4499,29.02,21.13,India,26.65
Tax adviser,IT,Increasing,High,111860.08,Master’s Degree,9,7671,6427,46.71,92.97,Australia,55.08
Structural engineer,Healthcare,Increasing,Low,122781.68,High School,7,9341,9737,27.25,48.16,Canada,58.62
Clinical research associate,Healthcare,Increasing,Moderate,87734.27,Associate Degree,14,5228,7662,51.76,13.26,Australia,46.76
Architectural technologist,Transportation,Increasing,Moderate,54695.34,PhD,10,3943,6851,15.53,44.99,Brazil,55.64
Publishing copy,Education,Increasing,Low,101406.49,PhD,11,6702,6117,93.69,40.61,Australia,63.64
Stage manager,Education,Increasing,Moderate,49960.09,PhD,6,5445,1922,44.59,95.41,Canada,30.08
Police officer,Education,Increasing,Moderate,89429.91,PhD,1,5281,8660,58.5,94.83,Canada,75.91
Television camera operator,Retail,Decreasing,Low,107985.05,High School,1,7441,6005,64.73,36.61,Australia,64.4
"Designer, furniture",Transportation,Decreasing,High,90229.37,Master’s Degree,17,5212,853,22.88,22.86,Australia,34.72
Community development worker,Retail,Increasing,Moderate,108596.98,Bachelor’s Degree,4,8261,5687,3.45,71.89,USA,61.37
Barrister,Manufacturing,Decreasing,Low,85370.06,Associate Degree,3,4059,511,4.16,93.3,UK,37.23
Sub,Manufacturing,Decreasing,High,65419.12,Master’s Degree,0,6802,8991,96.67,5.64,China,65.53
Magazine journalist,IT,Decreasing,Moderate,125419.33,PhD,9,386,8702,35.89,69.34,Germany,20.43
Plant breeder/geneticist,Healthcare,Increasing,Moderate,140994.86,PhD,19,5295,1455,1.94,94.79,USA,29.88
Outdoor activities/education manager,Entertainment,Increasing,Moderate,38351.2,Associate Degree,2,8898,8992,21.05,84.46,USA,67.35
Psychotherapist,Finance,Decreasing,High,59488.07,Bachelor’s Degree,4,8495,6720,26.34,6.71,UK,76.18
"Designer, textile",Retail,Decreasing,Low,130469.2,Master’s Degree,9,890,5346,35.78,6.66,Brazil,71.33
"Nurse, adult",IT,Decreasing,Low,51421.41,Associate Degree,5,7383,1922,56.46,67.62,Germany,39.82
Tree surgeon,Education,Decreasing,High,72915.88,PhD,14,7920,7039,62.39,64.09,Brazil,77.09
Higher education careers adviser,Education,Increasing,High,143737.27,Master’s Degree,9,2198,4084,71.47,34.37,Brazil,43.43
Orthoptist,Retail,Decreasing,Low,93616.44,Associate Degree,20,8385,6428,28.18,13.81,India,45.76
Associate Professor,Healthcare,Increasing,High,101157.11,Bachelor’s Degree,4,7364,3799,30.01,66.51,Canada,33.42
Energy manager,Manufacturing,Decreasing,High,55749.59,Master’s Degree,15,3947,7904,18.24,12.69,China,45.19
Commissioning editor,Retail,Increasing,Low,109772.11,Bachelor’s Degree,18,5186,4285,13.83,92.95,USA,38.15
"Development worker, international aid",Transportation,Increasing,Low,64848.41,High School,18,2999,9043,28.08,32.07,USA,38.09
Control and instrumentation engineer,Manufacturing,Increasing,Low,141057.77,Bachelor’s Degree,2,6635,4993,2.82,82.71,UK,70.9
Arts administrator,Healthcare,Decreasing,High,75553.66,Master’s Degree,19,8178,3869,60.1,36.97,China,34.32
Colour technologist,IT,Increasing,High,129701.38,Master’s Degree,6,5366,1064,11.68,6.39,Germany,28.32
Statistician,Finance,Increasing,High,71283.52,Bachelor’s Degree,19,7500,7809,59.89,43.92,Australia,76.32
Archaeologist,Manufacturing,Increasing,High,50984.14,High School,1,3923,3507,17.34,22.28,Brazil,35.24
Public house manager,IT,Decreasing,Low,73428.25,Bachelor’s Degree,5,2005,4392,15.94,49.77,Brazil,50.79
Sports coach,Transportation,Decreasing,Moderate,113182.54,Master’s Degree,2,8599,3326,16.37,40.15,Canada,27.89
Financial trader,IT,Increasing,Moderate,38602.22,Associate Degree,13,8249,3783,47.26,51.34,Australia,65.61
"Surveyor, insurance",Manufacturing,Decreasing,High,147150.03,High School,7,9738,4360,30.51,7.08,UK,20.14
Research scientist (maths),Education,Increasing,Moderate,96758.96,Associate Degree,17,6806,6998,45.49,58.63,Brazil,70.3
Ranger/warden,Retail,Increasing,Moderate,77414.15,Associate Degree,16,1135,1815,28.29,30.13,Brazil,22.82
"Surveyor, building control",Retail,Decreasing,High,115887.09,PhD,18,1270,3905,7.05,32.85,China,63.79
Cytogeneticist,Entertainment,Decreasing,Moderate,76825.55,Associate Degree,0,1214,7910,95.54,29.35,Brazil,66.42
Town planner,Education,Decreasing,Low,146239.73,Master’s Degree,6,1233,3840,94.02,87.81,Canada,36.82
Theatre stage manager,Healthcare,Decreasing,High,103477.31,High School,16,9775,9895,59.97,95.49,India,74.42
"Engineer, civil (contracting)",Entertainment,Decreasing,Moderate,120558.59,Associate Degree,19,8938,5324,84.13,1.21,Brazil,31.72
Amenity horticulturist,Healthcare,Increasing,Low,99070.57,Associate Degree,5,177,4269,55.74,15.27,UK,71.63
Medical laboratory scientific officer,Finance,Increasing,Moderate,130686.78,Master’s Degree,6,445,7201,93.59,59.2,Germany,37.99
Patent examiner,Transportation,Increasing,Low,71706.97,PhD,8,9623,4901,29.36,62.69,China,47.43
Immigration officer,Retail,Decreasing,High,112637.9,PhD,18,8174,653,24.08,38.05,Canada,37.74
Armed forces operational officer,Education,Decreasing,Moderate,109235.04,High School,14,7198,9851,44.76,31.36,USA,21.29
"Psychologist, sport and exercise",Education,Increasing,Low,68257.55,Associate Degree,18,1925,8113,31.45,42.03,Brazil,22.84
"Scientist, product/process development",Healthcare,Increasing,Moderate,102057.59,Associate Degree,10,6516,7108,32.44,31.98,UK,38.07
Recruitment consultant,IT,Decreasing,Moderate,34438.13,Associate Degree,1,5248,4013,8.77,75.41,China,74.41
Trade union research officer,Manufacturing,Increasing,Moderate,46477.01,Bachelor’s Degree,17,1524,990,12.42,82.96,UK,41.17
"Engineer, broadcasting (operations)",IT,Decreasing,High,129007.26,Master’s Degree,7,4197,3410,11.41,18.13,UK,70.13
